"date","team","goals","elo","rank","match_id","stage"
"6-Jun-2014","Russia",2,1847,16,"2014-83","Friendly"
"6-Jun-2014","Morocco",0,1516,78,"2014-83","Friendly"
"7-Jun-2014","Argentina",2,2017,4,"2014-84","Friendly"
"7-Jun-2014","Slovenia",0,1640,50,"2014-84","Friendly"
"7-Jun-2014","Belgium",1,1851,15,"2014-85","Friendly"
"7-Jun-2014","Tunisia",0,1529,76,"2014-85","Friendly"
"7-Jun-2014","Cameroon",1,1613,56,"2014-86","Friendly"
"7-Jun-2014","Moldova",0,1454,96,"2014-86","Friendly"
"7-Jun-2014","England",0,1925,6,"2014-87","Friendly"
"7-Jun-2014","Honduras",0,1663,47,"2014-87","Friendly"
"7-Jun-2014","Spain",2,2108,2,"2014-88","Friendly"
"7-Jun-2014","El Salvador",0,1518,78,"2014-88","Friendly"
"7-Jun-2014","United States",2,1854,12,"2014-89","Friendly"
"7-Jun-2014","Nigeria",1,1720,30,"2014-89","Friendly"
"8-Jun-2014","France",8,1894,11,"2014-90","Friendly"
"8-Jun-2014","Jamaica",0,1521,77,"2014-90","Friendly"
"8-Jun-2014","Iran",2,1707,28,"2014-91","Friendly"
"8-Jun-2014","Trinidad and Tobago",0,1492,83,"2014-91","Friendly"
"9-Jun-2014","Ghana",4,1691,26,"2014-92","Friendly"
"9-Jun-2014","South Korea",0,1649,43,"2014-92","Friendly"
"10-Jun-2014","Portugal",5,1935,6,"2014-93","Friendly"
"10-Jun-2014","Ireland",1,1679,42,"2014-93","Friendly"
"12-Jun-2014","Brazil",3,2138,1,"2014-94","World Cup"
"12-Jun-2014","Croatia",1,1805,20,"2014-94","World Cup"
"13-Jun-2014","Chile",3,1920,5,"2014-95","World Cup"
"13-Jun-2014","Australia",1,1667,37,"2014-95","World Cup"
"13-Jun-2014","Mexico",1,1814,18,"2014-96","World Cup"
"13-Jun-2014","Cameroon",0,1587,57,"2014-96","World Cup"
"13-Jun-2014","Netherlands",5,1986,1,"2014-97","World Cup"
"13-Jun-2014","Spain",1,1959,2,"2014-97","World Cup"
"14-Jun-2014","Colombia",3,1922,3,"2014-98","World Cup"
"14-Jun-2014","Greece",0,1748,20,"2014-98","World Cup"
"14-Jun-2014","Costa Rica",3,1712,17,"2014-99","World Cup"
"14-Jun-2014","Uruguay",1,1781,10,"2014-99","World Cup"
"14-Jun-2014","Italy",2,1888,6,"2014-100","World Cup"
"14-Jun-2014","England",1,1864,8,"2014-100","World Cup"
"14-Jun-2014","Ivory Coast",2,1776,17,"2014-101","World Cup"
"14-Jun-2014","Japan",1,1724,24,"2014-101","World Cup"
"15-Jun-2014","Argentina",2,2019,5,"2014-102","World Cup"
"15-Jun-2014","Bosnia and Herzegovina",1,1763,23,"2014-102","World Cup"
"15-Jun-2014","France",3,1897,9,"2014-103","World Cup"
"15-Jun-2014","Honduras",0,1626,46,"2014-103","World Cup"
"15-Jun-2014","Switzerland",2,1856,11,"2014-104","World Cup"
"15-Jun-2014","Ecuador",1,1781,18,"2014-104","World Cup"
"16-Jun-2014","Germany",4,2073,2,"2014-105","World Cup"
"16-Jun-2014","Portugal",0,1871,7,"2014-105","World Cup"
"16-Jun-2014","Iran",0,1714,33,"2014-106","World Cup"
"16-Jun-2014","Nigeria",0,1722,31,"2014-106","World Cup"
"16-Jun-2014","United States",2,1858,13,"2014-107","World Cup"
"16-Jun-2014","Ghana",1,1674,34,"2014-107","World Cup"
"17-Jun-2014","Belgium",2,1853,14,"2014-108","World Cup"
"17-Jun-2014","Algeria",1,1602,54,"2014-108","World Cup"
"17-Jun-2014","Brazil",0,2095,1,"2014-109","World Cup"
"17-Jun-2014","Mexico",0,1829,12,"2014-109","World Cup"
"17-Jun-2014","Russia",1,1821,16,"2014-110","World Cup"
"17-Jun-2014","South Korea",1,1668,40,"2014-110","World Cup"
"18-Jun-2014","Chile",2,1941,3,"2014-111","World Cup"
"18-Jun-2014","Spain",0,1920,4,"2014-111","World Cup"
"18-Jun-2014","Croatia",4,1812,17,"2014-112","World Cup"
"18-Jun-2014","Cameroon",0,1550,60,"2014-112","World Cup"
"18-Jun-2014","Netherlands",3,2061,3,"2014-113","World Cup"
"18-Jun-2014","Australia",2,1676,41,"2014-113","World Cup"
"19-Jun-2014","Colombia",2,1960,5,"2014-114","World Cup"
"19-Jun-2014","Ivory Coast",1,1771,21,"2014-114","World Cup"
"19-Jun-2014","Greece",0,1780,23,"2014-115","World Cup"
"19-Jun-2014","Japan",0,1755,27,"2014-115","World Cup"
"19-Jun-2014","Uruguay",2,1850,6,"2014-116","World Cup"
"19-Jun-2014","England",1,1830,11,"2014-116","World Cup"
"20-Jun-2014","Costa Rica",1,1781,18,"2014-117","World Cup"
"20-Jun-2014","Italy",0,1838,8,"2014-117","World Cup"
"20-Jun-2014","Ecuador",2,1809,20,"2014-118","World Cup"
"20-Jun-2014","Honduras",1,1614,48,"2014-118","World Cup"
"20-Jun-2014","France",5,1919,7,"2014-119","World Cup"
"20-Jun-2014","Switzerland",2,1790,11,"2014-119","World Cup"
"21-Jun-2014","Argentina",1,2031,4,"2014-120","World Cup"
"21-Jun-2014","Iran",0,1699,33,"2014-120","World Cup"
"21-Jun-2014","Germany",2,2059,2,"2014-121","World Cup"
"21-Jun-2014","Ghana",2,1692,24,"2014-121","World Cup"
"21-Jun-2014","Nigeria",1,1723,23,"2014-122","World Cup"
"21-Jun-2014","Bosnia and Herzegovina",0,1707,25,"2014-122","World Cup"
"22-Jun-2014","Algeria",4,1615,36,"2014-123","World Cup"
"22-Jun-2014","South Korea",2,1574,42,"2014-123","World Cup"
"22-Jun-2014","Belgium",1,1866,7,"2014-124","World Cup"
"22-Jun-2014","Russia",0,1781,19,"2014-124","World Cup"
"22-Jun-2014","Portugal",2,1901,9,"2014-125","World Cup"
"22-Jun-2014","United States",2,1876,12,"2014-125","World Cup"
"23-Jun-2014","Brazil",4,2120,1,"2014-126","World Cup"
"23-Jun-2014","Cameroon",1,1570,65,"2014-126","World Cup"
"23-Jun-2014","Mexico",3,1854,5,"2014-127","World Cup"
"23-Jun-2014","Croatia",1,1752,17,"2014-127","World Cup"
"23-Jun-2014","Netherlands",2,2067,1,"2014-128","World Cup"
"23-Jun-2014","Chile",0,1926,5,"2014-128","World Cup"
"23-Jun-2014","Spain",3,1977,3,"2014-129","World Cup"
"23-Jun-2014","Australia",0,1650,42,"2014-129","World Cup"
"24-Jun-2014","Colombia",4,1978,4,"2014-130","World Cup"
"24-Jun-2014","Japan",1,1712,26,"2014-130","World Cup"
"24-Jun-2014","Costa Rica",0,1823,17,"2014-131","World Cup"
"24-Jun-2014","England",0,1856,13,"2014-131","World Cup"
"24-Jun-2014","Greece",2,1783,16,"2014-132","World Cup"
"24-Jun-2014","Ivory Coast",1,1727,23,"2014-132","World Cup"
"24-Jun-2014","Uruguay",1,1884,6,"2014-133","World Cup"
"24-Jun-2014","Italy",0,1820,13,"2014-133","World Cup"
"25-Jun-2014","Argentina",3,2039,4,"2014-134","World Cup"
"25-Jun-2014","Nigeria",2,1737,26,"2014-134","World Cup"
"25-Jun-2014","Bosnia and Herzegovina",3,1741,19,"2014-135","World Cup"
"25-Jun-2014","Iran",1,1625,36,"2014-135","World Cup"
"25-Jun-2014","Ecuador",0,1826,17,"2014-136","World Cup"
"25-Jun-2014","France",0,1944,7,"2014-136","World Cup"
"25-Jun-2014","Switzerland",3,1837,11,"2014-137","World Cup"
"25-Jun-2014","Honduras",0,1581,53,"2014-137","World Cup"
"26-Jun-2014","Algeria",1,1669,38,"2014-138","World Cup"
"26-Jun-2014","Russia",1,1786,21,"2014-138","World Cup"
"26-Jun-2014","Belgium",1,1893,10,"2014-139","World Cup"
"26-Jun-2014","South Korea",0,1606,53,"2014-139","World Cup"
"26-Jun-2014","Germany",1,2084,3,"2014-140","World Cup"
"26-Jun-2014","United States",0,1851,13,"2014-140","World Cup"
"26-Jun-2014","Portugal",2,1904,8,"2014-141","World Cup"
"26-Jun-2014","Ghana",1,1687,32,"2014-141","World Cup"
"28-Jun-2014","Brazil",1,2085,1,"2014-142","World Cup"
"28-Jun-2014","Chile",1,1962,7,"2014-142","World Cup"
"28-Jun-2014","Colombia",2,2001,5,"2014-143","World Cup"
"28-Jun-2014","Uruguay",0,1846,10,"2014-143","World Cup"
"29-Jun-2014","Costa Rica",1,1825,19,"2014-144","World Cup"
"29-Jun-2014","Greece",1,1814,20,"2014-144","World Cup"
"29-Jun-2014","Netherlands",2,2103,0,"2014-145","World Cup"
"29-Jun-2014","Mexico",1,1869,11,"2014-145","World Cup"
"30-Jun-2014","France",2,1955,8,"2014-146","World Cup"
"30-Jun-2014","Nigeria",0,1705,29,"2014-146","World Cup"
"30-Jun-2014","Germany",2,2098,3,"2014-147","World Cup"
"30-Jun-2014","Algeria",1,1670,41,"2014-147","World Cup"
"1-Jul-2014","Argentina",1,2049,4,"2014-148","World Cup"
"1-Jul-2014","Switzerland",0,1832,14,"2014-148","World Cup"
"1-Jul-2014","Belgium",2,1904,8,"2014-149","World Cup"
"1-Jul-2014","United States",1,1811,13,"2014-149","World Cup"
"4-Jul-2014","Brazil",2,2104,2,"2014-150","World Cup"
"4-Jul-2014","Colombia",1,2003,5,"2014-150","World Cup"
"4-Jul-2014","Germany",1,2103,-1,"2014-151","World Cup"
"4-Jul-2014","France",0,1938,8,"2014-151","World Cup"
"5-Jul-2014","Argentina",1,2064,4,"2014-152","World Cup"
"5-Jul-2014","Belgium",0,1893,9,"2014-152","World Cup"
"5-Jul-2014","Costa Rica",0,1826,11,"2014-153","World Cup"
"5-Jul-2014","Netherlands",0,2075,3,"2014-153","World Cup"
"8-Jul-2014","Brazil",1,1958,2,"2014-154","World Cup"
"8-Jul-2014","Germany",7,2122,1,"2014-154","World Cup"
"9-Jul-2014","Argentina",0,2083,3,"2014-155","World Cup"
"9-Jul-2014","Netherlands",0,2094,2,"2014-155","World Cup"
"12-Jul-2014","Brazil",0,1921,4,"2014-156","World Cup"
"12-Jul-2014","Netherlands",3,2095,2,"2014-156","World Cup"
"13-Jul-2014","Germany",1,2203,1,"2014-157","World Cup"
"13-Jul-2014","Argentina",0,2044,3,"2014-157","World Cup"
